Title,Author,Rating,Rating Count,Source,Available,Duration,Holds,Wait (days)
Sister Outsider,Audre Lorde,4.53,41760,BorrowBox,No,6h58m,0,0
Nobody's Girl,Virginia Roberts Giuffre,4.53,91642,BorrowBox,No,13h39m,0,0
The New Jim Crow,Michelle Alexander,4.52,118863,BorrowBox,Yes,13h15m,0,0
Braiding Sweetgrass,Robin Wall Kimmerer,4.5,180205,BorrowBox,No,16h46m,0,0
A Life on Our Planet,David Attenborough,4.5,35153,BorrowBox,Yes,6h20m,0,0
Say Nothing,Patrick Radden Keefe,4.47,177782,BorrowBox,No,14h43m,0,0
Educated,Tara Westover,4.46,1909112,BorrowBox,Yes,12h10m,0,0
Becoming,Michelle Obama,4.43,1218021,BorrowBox,Yes,19h3m,0,0
The Gift,Dr. Edith Eger,4.42,20783,BorrowBox,No,5h19m,0,0
American Kingpin,Nick Bilton,4.41,55156,BorrowBox,Yes,12h14m,0,0
Between the World and Me,Ta-Nehisi Coates,4.4,371314,BorrowBox,Yes,3h35m,0,0
In the Dream House,Carmen Maria Machado,4.38,165994,BorrowBox,Yes,9h0m,0,0
Africa Is Not a Country,Dipo Faloyin,4.38,11640,BorrowBox,No,9h34m,0,0
The Book of Joy,Desmond Tutu,4.38,65391,BorrowBox,Yes,10h13m,0,0
I'm Still Here,Austin Channing Brown,4.37,73867,BorrowBox,Yes,3h54m,0,0
Behave,Robert M Sapolsky,4.37,32949,BorrowBox,Yes,26h27m,0,0
The Barefoot Investor,Scott Pape,4.37,21761,BorrowBox,Yes,6h19m,0,0
Maybe You Should Talk to Someone,Lori Gottlieb,4.37,413696,BorrowBox,Yes,14h22m,0,0
Why I'm No Longer Talking to White People About Race,Reni Eddo-Lodge,4.37,101547,BorrowBox,Yes,5h53m,0,0
Midnight in Chernobyl,Adam Higginbotham,4.36,67352,BorrowBox,No,13h9m,0,0
The Education of an Idealist,Samantha Power,4.34,20094,BorrowBox,Yes,20h54m,0,0
She Said,Jodi Kantor,4.34,44322,BorrowBox,No,9h52m,0,0
Invisible Women,Caroline Criado Perez,4.33,174909,BorrowBox,Yes,9h24m,0,0
Entangled Life,Merlin Sheldrake,4.32,53082,BorrowBox,Yes,9h32m,0,0
And Away...,Bob Mortimer,4.31,27572,BorrowBox,No,7h59m,0,0
The Good Immigrant,Nikesh Shukla,4.31,14134,BorrowBox,Yes,7h0m,0,0
A Promised Land,Barack Obama,4.31,281009,BorrowBox,Yes,29h10m,0,0
The Resilience Project,Hugh van Cuylenburg,4.31,13258,BorrowBox,Yes,4h45m,0,0
The Body,Bill Bryson,4.31,101870,BorrowBox,Yes,14h48m,0,0
Capital: Volume 1,Karl Marx,4.3,14590,BorrowBox,No,7h42m,0,0
You Are Here,Thich Nhat Hanh,4.3,12847,BorrowBox,Yes,3h54m,0,0
I Know Why the Caged Bird Sings,Maya Angelou,4.3,589140,BorrowBox,Yes,1h8m,0,0
The Myth of Normal,Gabor Maté M.D.,4.3,37364,BorrowBox,Yes,18h13m,0,0
Wild Swans,Jung Chang,4.3,125993,BorrowBox,No,27h15m,0,0
