Title,Author,Rating,Rating Count,Source,Available,Duration,Holds,Wait (days)
The Happiest Man on Earth,Eddie Jaku,4.62,136012,OverDrive,Yes,,0,14
The Jakarta Method,Vincent Bevins,4.61,18729,OverDrive,No,,8,126
The Boy Who Was Raised as a Dog,Bruce D Perry,4.58,42851,OverDrive,No,,5,84
The Choice,Edith Eger,4.57,134393,OverDrive,Yes,,0,7
Poor,Katriona O'Sullivan,4.55,20465,OverDrive,No,,1,28
Beastie Boys Book,Adam Horovitz,4.53,14452,OverDrive,Yes,,0,1
Nobody's Girl,Virginia Roberts Giuffre,4.53,91633,OverDrive,No,,53,756
Patriot,Alexei Navalny,4.51,16101,OverDrive,Yes,,0,7
Every Living Thing,James Herriot,4.51,17927,OverDrive,No,,1,28
Just as I Am,Cicely Tyson,4.5,11665,OverDrive,Yes,,0,14
Braiding Sweetgrass,Robin Wall Kimmerer,4.5,180205,OverDrive,No,,14,70
So You Want to Talk about Race,Ijeoma Oluo,4.48,108263,OverDrive,Yes,,0,3
Hiding Place,Corrie Ten Boom,4.48,361850,OverDrive,No,,1,28
An Immense World,Ed Yong,4.46,37149,OverDrive,Yes,,0,7
Educated,Tara Westover,4.46,1909102,OverDrive,No,,10,52
The Boy Who Followed His Father into Auschwitz,Jeremy Dronfield,4.45,20339,OverDrive,Yes,,0,7
A Different Kind of Power,Jacinda Ardern,4.45,18574,OverDrive,No,,2,11
All Things Wise and Wonderful,James Herriot,4.45,38215,OverDrive,No,,0,14
The Lord God Made Them All,James Herriot,4.45,30326,OverDrive,No,,1,28
Becoming,Michelle Obama,4.43,1218017,OverDrive,Yes,,0,2
How to Say Babylon,Safiya Sinclair,4.43,32891,OverDrive,No,,0,7
Living Untethered,Michael A. Singer,4.43,10989,OverDrive,No,,3,56
The Storyteller,Dave Grohl,4.43,170619,OverDrive,No,,2,42
The Girl with Seven Names,Hyeonseo Lee,4.43,103354,OverDrive,No,,2,42
Mother Mary Comes to Me,Arundhati Roy,4.42,23215,OverDrive,No,,40,144
Between Two Kingdoms,Suleika Jaouad,4.42,131620,OverDrive,No,,0,14
When Breath Becomes Air,Paul Kalanithi,4.41,827118,OverDrive,No,,0,7
We Should All Be Feminists,Chimamanda Ngozi Adichie,4.39,335762,OverDrive,Yes,,0,14
Churchill,Andrew Roberts,4.39,11556,OverDrive,No,,0,14
In the Dream House,Carmen Maria Machado,4.38,165994,OverDrive,Yes,,0,14
Night,Elie Wiesel,4.38,1382257,OverDrive,Yes,,0,1
Eloquent Rage,Brittney Cooper,4.38,14017,OverDrive,Yes,,0,7
More Than Enough,Elaine Welteroth,4.38,11022,OverDrive,Yes,,0,7
We Were Eight Years in Power,Ta-Nehisi Coates,4.38,31109,OverDrive,Yes,,0,7
How to Talk So Little Kids Will Listen,Joanna Faber,4.38,25913,OverDrive,No,,3,12
Matrescence,Lucy Jones,4.37,10701,OverDrive,No,,0,5
Long Walk to Freedom,Nelson Mandela,4.36,95401,OverDrive,No,,3,56
All Creatures Great and Small,James Herriot,4.36,160381,OverDrive,No,,3,56
Midnight in Chernobyl,Adam Higginbotham,4.36,67352,OverDrive,No,,1,28
Nuclear War,Annie Jacobsen,4.36,51149,OverDrive,No,,0,7
All Things Bright and Beautiful,James Herriot,4.36,83867,OverDrive,No,,1,28
Down the Drain,Julia Fox,4.35,97030,OverDrive,Yes,,0,7
Hood Feminism,Mikki Kendall,4.35,64710,OverDrive,No,,6,98
Invisible Women,Caroline Criado Perez,4.33,174909,OverDrive,No,,4,18
Elon Musk,Walter Isaacson,4.32,78206,OverDrive,No,,1,28
Entangled Life,Merlin Sheldrake,4.32,53082,OverDrive,No,,1,14
The Honey Bus,Meredith May,4.32,12875,OverDrive,Yes,,0,14
And Away...,Bob Mortimer,4.31,27570,OverDrive,Yes,,0,7
The Good Immigrant,Nikesh Shukla,4.31,14134,OverDrive,Yes,,0,7
The Third Gilmore Girl,Kelly Bishop,4.31,139407,OverDrive,Yes,,0,4
The Anxious Generation,Jonathan Haidt,4.31,199760,OverDrive,No,,2,7
Free,Lea Ypi,4.31,26476,OverDrive,No,,3,19
Winning the War in Your Mind,Craig Groeschel,4.31,17612,OverDrive,No,,2,42
The Resilience Project,Hugh van Cuylenburg,4.31,13258,OverDrive,No,,2,42
A Promised Land,Barack Obama,4.31,281009,OverDrive,No,,0,3
Politics On the Edge,Rory Stewart,4.3,18172,OverDrive,No,,0,4
American Prometheus,Kai Bird,4.3,60574,OverDrive,No,,1,28
I Know Why the Caged Bird Sings,Maya Angelou,4.3,589140,OverDrive,Yes,,0,4
The Splendid and the Vile,Erik Larson,4.3,140438,OverDrive,No,,1,28
Peace Is Every Step,Thich Nhat Hanh,4.3,47751,OverDrive,No,,2,42
Israel,Noa Tishby,4.29,10591,OverDrive,Yes,,0,14
The Next Conversation,Jefferson Fisher,4.29,15058,OverDrive,No,,4,24
The Song of the Cell,Siddhartha Mukherjee,4.28,15778,OverDrive,Yes,,0,7
Erebus,Michael Palin,4.28,12008,OverDrive,Yes,,0,7
Bits and Pieces,Whoopi Goldberg,4.28,16908,OverDrive,Yes,,0,14
Beyond the Wand,Tom Felton,4.28,158277,OverDrive,No,,0,5
The House of My Mother,Shari Franke,4.28,202207,OverDrive,No,,1,14
107 Days,Kamala Harris,4.28,60428,OverDrive,No,,2,21
The Light We Carry,Michelle Obama,4.27,100144,OverDrive,Yes,,0,3
"Poverty, by America",Matthew Desmond,4.27,64475,OverDrive,Yes,,0,7
"Clothes, Clothes, Clothes. Music, Music, Music. Boys, Boys, Boys.",Viv Albertine,4.27,13639,OverDrive,Yes,,0,1
The Screwtape Letters,C. S. Lewis,4.27,535137,OverDrive,Yes,,0,7
Madhouse at the End of the Earth,Julian Sancton,4.27,19157,OverDrive,No,,0,14
The Serviceberry,Robin Wall Kimmerer,4.27,66306,OverDrive,No,,4,70
The New Age of Sexism,Laura Bates,4.27,10169,OverDrive,No,,21,103
The Magic of Thinking Big,David Schwartz,4.26,100548,OverDrive,No,,1,28
Practicing the Power of Now,Eckhart Tolle,4.26,51014,OverDrive,No,,0,7
Meditations for Mortals,Oliver Burkeman,4.26,18308,OverDrive,No,,4,24
Landlines,Raynor Winn,4.25,10970,OverDrive,Yes,,0,7
Citizen,Claudia Rankine,4.25,52483,OverDrive,Yes,,0,14
I Partridge,Alan Partridge,4.24,11241,OverDrive,Yes,,0,7
Spanish,Unknown,4.23,110569,OverDrive,Yes,,0,7
From Here to the Great Unknown,Lisa Marie Presley,4.23,110569,OverDrive,Yes,,0,5
Twelve Years a Slave,Solomon Northup,4.23,125838,OverDrive,Yes,,0,14
Chernobyl,Serhii Plokhy,4.23,11745,OverDrive,No,,0,7
Intuitive Eating,"Elyse Resch, MS, RD, FADA",4.23,20487,OverDrive,No,,0,14
The School of Life,Alain de Botton,4.23,10018,OverDrive,No,,0,5
Underland,Robert Macfarlane,4.22,21656,OverDrive,Yes,,0,7
Paris,Paris Hilton,4.21,91217,OverDrive,Yes,,0,7
A Brief History of Time,Stephen W. Hawking,4.21,485409,OverDrive,Yes,,0,7
The Best of Me,David Sedaris,4.21,26214,OverDrive,Yes,,0,1
Bonhoeffer,Eric Metaxas,4.21,83875,OverDrive,Yes,,0,14
Love for Imperfect Things,Haemin Sunim,4.2,16338,OverDrive,No,,1,28
Taste,Stanley Tucci,4.19,98454,OverDrive,Yes,,0,4
Prisoners of Geography,Tim Marshall,4.19,120521,OverDrive,Yes,,0,5
Semi-Well-Adjusted Despite Literally Everything,Alyson Stoner,4.19,31860,OverDrive,Yes,,0,7
The Righteous Mind,Jonathan Haidt,4.19,67448,OverDrive,Yes,,0,1
Kitchen Confidential,Anthony Bourdain,4.19,387767,OverDrive,Yes,,0,7
Doppelganger,Naomi Klein,4.19,38250,OverDrive,No,,0,3
Manifest,Roxie Nafousi,4.19,18058,OverDrive,No,,2,14
Born to Run,Bruce Springsteen,4.19,56048,OverDrive,No,,1,28
"When You're Ready, This Is How You Heal",Brianna Wiest,4.19,18513,OverDrive,No,,4,70
Think Like a Monk,Jay Shetty,4.18,87297,OverDrive,Yes,,0,7
Fight Club,Chuck Palahniuk,4.18,652363,OverDrive,No,,0,14
The Five Love Languages of Children,Gary Chapman,4.17,29466,OverDrive,Yes,,0,14
An Astronaut's Guide to Life on Earth,Chris Hadfield,4.17,63436,OverDrive,Yes,,0,3
The Wager,David Grann,4.17,222264,OverDrive,No,,4,70
The Tertiary Phase,Douglas Adams,4.16,253040,OverDrive,Yes,,0,7
My Next Breath,Jeremy Renner,4.16,38597,OverDrive,Yes,,0,1
