Title,Author,Rating,Rating Count,Source,Available,Duration,Holds,Wait (days)
The Happiest Man on Earth,Eddie Jaku,4.62,136012,OverDrive,Yes,,0,14
The Jakarta Method,Vincent Bevins,4.61,18729,OverDrive,No,,8,126
The Boy Who Was Raised as a Dog,Bruce D Perry,4.58,42851,OverDrive,No,,5,84
The Choice,Edith Eger,4.57,134393,OverDrive,Yes,,0,7
Poor,Katriona O'Sullivan,4.55,20465,OverDrive,No,,1,28
Beastie Boys Book,Adam Horovitz,4.53,14452,OverDrive,Yes,,0,1
Nobody's Girl,Virginia Roberts Giuffre,4.53,91633,OverDrive,No,,53,756
Sister Outsider,Audre Lorde,4.53,41760,BorrowBox,No,6h58m,0,0
Nobody's Girl,Virginia Roberts Giuffre,4.53,91642,BorrowBox,No,13h39m,0,0
The New Jim Crow,Michelle Alexander,4.52,118863,BorrowBox,Yes,13h15m,0,0
Patriot,Alexei Navalny,4.51,16101,OverDrive,Yes,,0,7
Every Living Thing,James Herriot,4.51,17927,OverDrive,No,,1,28
Just as I Am,Cicely Tyson,4.5,11665,OverDrive,Yes,,0,14
Braiding Sweetgrass,Robin Wall Kimmerer,4.5,180205,OverDrive,No,,14,70
Braiding Sweetgrass,Robin Wall Kimmerer,4.5,180205,BorrowBox,No,16h46m,0,0
A Life on Our Planet,David Attenborough,4.5,35153,BorrowBox,Yes,6h20m,0,0
So You Want to Talk about Race,Ijeoma Oluo,4.48,108263,OverDrive,Yes,,0,3
Hiding Place,Corrie Ten Boom,4.48,361850,OverDrive,No,,1,28
Say Nothing,Patrick Radden Keefe,4.47,177782,BorrowBox,No,14h43m,0,0
An Immense World,Ed Yong,4.46,37149,OverDrive,Yes,,0,7
Educated,Tara Westover,4.46,1909102,OverDrive,No,,10,52
Educated,Tara Westover,4.46,1909112,BorrowBox,Yes,12h10m,0,0
The Boy Who Followed His Father into Auschwitz,Jeremy Dronfield,4.45,20339,OverDrive,Yes,,0,7
A Different Kind of Power,Jacinda Ardern,4.45,18574,OverDrive,No,,2,11
All Things Wise and Wonderful,James Herriot,4.45,38215,OverDrive,No,,0,14
The Lord God Made Them All,James Herriot,4.45,30326,OverDrive,No,,1,28
Becoming,Michelle Obama,4.43,1218017,OverDrive,Yes,,0,2
How to Say Babylon,Safiya Sinclair,4.43,32891,OverDrive,No,,0,7
Living Untethered,Michael A. Singer,4.43,10989,OverDrive,No,,3,56
The Storyteller,Dave Grohl,4.43,170619,OverDrive,No,,2,42
The Girl with Seven Names,Hyeonseo Lee,4.43,103354,OverDrive,No,,2,42
Becoming,Michelle Obama,4.43,1218021,BorrowBox,Yes,19h3m,0,0
Mother Mary Comes to Me,Arundhati Roy,4.42,23215,OverDrive,No,,40,144
Between Two Kingdoms,Suleika Jaouad,4.42,131620,OverDrive,No,,0,14
The Gift,Dr. Edith Eger,4.42,20783,BorrowBox,No,5h19m,0,0
When Breath Becomes Air,Paul Kalanithi,4.41,827118,OverDrive,No,,0,7
American Kingpin,Nick Bilton,4.41,55156,BorrowBox,Yes,12h14m,0,0
Between the World and Me,Ta-Nehisi Coates,4.4,371314,BorrowBox,Yes,3h35m,0,0
We Should All Be Feminists,Chimamanda Ngozi Adichie,4.39,335762,OverDrive,Yes,,0,14
Churchill,Andrew Roberts,4.39,11556,OverDrive,No,,0,14
In the Dream House,Carmen Maria Machado,4.38,165994,OverDrive,Yes,,0,14
Night,Elie Wiesel,4.38,1382257,OverDrive,Yes,,0,1
Eloquent Rage,Brittney Cooper,4.38,14017,OverDrive,Yes,,0,7
More Than Enough,Elaine Welteroth,4.38,11022,OverDrive,Yes,,0,7
We Were Eight Years in Power,Ta-Nehisi Coates,4.38,31109,OverDrive,Yes,,0,7
How to Talk So Little Kids Will Listen,Joanna Faber,4.38,25913,OverDrive,No,,3,12
In the Dream House,Carmen Maria Machado,4.38,165994,BorrowBox,Yes,9h0m,0,0
Africa Is Not a Country,Dipo Faloyin,4.38,11640,BorrowBox,No,9h34m,0,0
The Book of Joy,Desmond Tutu,4.38,65391,BorrowBox,Yes,10h13m,0,0
Matrescence,Lucy Jones,4.37,10701,OverDrive,No,,0,5
I'm Still Here,Austin Channing Brown,4.37,73867,BorrowBox,Yes,3h54m,0,0
Behave,Robert M Sapolsky,4.37,32949,BorrowBox,Yes,26h27m,0,0
The Barefoot Investor,Scott Pape,4.37,21761,BorrowBox,Yes,6h19m,0,0
Maybe You Should Talk to Someone,Lori Gottlieb,4.37,413696,BorrowBox,Yes,14h22m,0,0
Why I'm No Longer Talking to White People About Race,Reni Eddo-Lodge,4.37,101547,BorrowBox,Yes,5h53m,0,0
Long Walk to Freedom,Nelson Mandela,4.36,95401,OverDrive,No,,3,56
All Creatures Great and Small,James Herriot,4.36,160381,OverDrive,No,,3,56
Midnight in Chernobyl,Adam Higginbotham,4.36,67352,OverDrive,No,,1,28
Nuclear War,Annie Jacobsen,4.36,51149,OverDrive,No,,0,7
All Things Bright and Beautiful,James Herriot,4.36,83867,OverDrive,No,,1,28
Midnight in Chernobyl,Adam Higginbotham,4.36,67352,BorrowBox,No,13h9m,0,0
Down the Drain,Julia Fox,4.35,97030,OverDrive,Yes,,0,7
Hood Feminism,Mikki Kendall,4.35,64710,OverDrive,No,,6,98
The Education of an Idealist,Samantha Power,4.34,20094,BorrowBox,Yes,20h54m,0,0
She Said,Jodi Kantor,4.34,44322,BorrowBox,No,9h52m,0,0
Invisible Women,Caroline Criado Perez,4.33,174909,OverDrive,No,,4,18
Invisible Women,Caroline Criado Perez,4.33,174909,BorrowBox,Yes,9h24m,0,0
Elon Musk,Walter Isaacson,4.32,78206,OverDrive,No,,1,28
Entangled Life,Merlin Sheldrake,4.32,53082,OverDrive,No,,1,14
The Honey Bus,Meredith May,4.32,12875,OverDrive,Yes,,0,14
Entangled Life,Merlin Sheldrake,4.32,53082,BorrowBox,Yes,9h32m,0,0
And Away...,Bob Mortimer,4.31,27570,OverDrive,Yes,,0,7
The Good Immigrant,Nikesh Shukla,4.31,14134,OverDrive,Yes,,0,7
The Third Gilmore Girl,Kelly Bishop,4.31,139407,OverDrive,Yes,,0,4
The Anxious Generation,Jonathan Haidt,4.31,199760,OverDrive,No,,2,7
Free,Lea Ypi,4.31,26476,OverDrive,No,,3,19
Winning the War in Your Mind,Craig Groeschel,4.31,17612,OverDrive,No,,2,42
The Resilience Project,Hugh van Cuylenburg,4.31,13258,OverDrive,No,,2,42
A Promised Land,Barack Obama,4.31,281009,OverDrive,No,,0,3
And Away...,Bob Mortimer,4.31,27572,BorrowBox,No,7h59m,0,0
The Good Immigrant,Nikesh Shukla,4.31,14134,BorrowBox,Yes,7h0m,0,0
A Promised Land,Barack Obama,4.31,281009,BorrowBox,Yes,29h10m,0,0
The Resilience Project,Hugh van Cuylenburg,4.31,13258,BorrowBox,Yes,4h45m,0,0
The Body,Bill Bryson,4.31,101870,BorrowBox,Yes,14h48m,0,0
Politics On the Edge,Rory Stewart,4.3,18172,OverDrive,No,,0,4
American Prometheus,Kai Bird,4.3,60574,OverDrive,No,,1,28
I Know Why the Caged Bird Sings,Maya Angelou,4.3,589140,OverDrive,Yes,,0,4
The Splendid and the Vile,Erik Larson,4.3,140438,OverDrive,No,,1,28
Peace Is Every Step,Thich Nhat Hanh,4.3,47751,OverDrive,No,,2,42
Capital: Volume 1,Karl Marx,4.3,14590,BorrowBox,No,7h42m,0,0
You Are Here,Thich Nhat Hanh,4.3,12847,BorrowBox,Yes,3h54m,0,0
I Know Why the Caged Bird Sings,Maya Angelou,4.3,589140,BorrowBox,Yes,1h8m,0,0
The Myth of Normal,Gabor Maté M.D.,4.3,37364,BorrowBox,Yes,18h13m,0,0
Wild Swans,Jung Chang,4.3,125993,BorrowBox,No,27h15m,0,0
Born to Run,Christopher McDougall,4.3,236742,BorrowBox,Yes,11h7m,0,0
Israel,Noa Tishby,4.29,10591,OverDrive,Yes,,0,14
The Next Conversation,Jefferson Fisher,4.29,15058,OverDrive,No,,4,24
On Tyranny and On Ukraine,Timothy Snyder,4.29,113369,BorrowBox,Yes,9h46m,0,0
My Name Is Why,Lemn Sissay,4.29,13450,BorrowBox,Yes,7h1m,0,0
The Song of the Cell,Siddhartha Mukherjee,4.28,15778,OverDrive,Yes,,0,7
Erebus,Michael Palin,4.28,12008,OverDrive,Yes,,0,7
Bits and Pieces,Whoopi Goldberg,4.28,16908,OverDrive,Yes,,0,14
Beyond the Wand,Tom Felton,4.28,158277,OverDrive,No,,0,5
The House of My Mother,Shari Franke,4.28,202207,OverDrive,No,,1,14
107 Days,Kamala Harris,4.28,60428,OverDrive,No,,2,21
